distributions,labels,resnet_wmape,pointnet_wmape,random_wmape
all_dist,hotspots_16_min_val,0.21330273895031723,0.12308709769993136,0.8156960301275192
all_dist,hotspots_16_min_x,0.23239394535983005,0.12044667345983415,0.5869621159969858
all_dist,hotspots_16_min_y,0.319820790021104,0.15580187061489195,0.7026111570422884
all_dist,hotspots_16_max_val,0.049343919605630594,0.033895116006232885,0.3066731398801684
all_dist,hotspots_16_max_x,0.2537296356638918,0.1753454858179955,0.7527263357791126
all_dist,hotspots_16_max_y,0.18952655105555238,0.1499068067885729,0.705345820951625
all_dist,hotspots_32_min_val,0.21704337645381355,0.13468847276969206,0.7966599901273395
all_dist,hotspots_32_min_x,0.23517918282949637,0.12194973893356309,0.5879262277412686
all_dist,hotspots_32_min_y,0.31748241529132465,0.1654842288554488,0.6946570094652076
all_dist,hotspots_32_max_val,0.04814515524358275,0.035157003570101854,0.30733796343574277
all_dist,hotspots_32_max_x,0.25568042773754546,0.17544469019804582,0.7483903000221255
all_dist,hotspots_32_max_y,0.1730988104749021,0.14933303561811323,0.6897147641455684
all_dist,hotspots_64_min_val,0.22224679901338973,0.14788747450372697,0.7734266355588166
all_dist,hotspots_64_min_x,0.23933971167233717,0.12265239527938421,0.5905959688382356
all_dist,hotspots_64_min_y,0.312457250196113,0.17492619235991297,0.6636286460763626
all_dist,hotspots_64_max_val,0.047379909242079334,0.03331125719494065,0.3141988773851879
all_dist,hotspots_64_max_x,0.24964350490585283,0.16990552140313325,0.7443553286250003
all_dist,hotspots_64_max_y,0.16785136614708976,0.14358795597583107,0.6729950776256629
all_dist,k_values_0.025,1.9937596299521976,0.6024705575667326,16.144159604764642
all_dist,k_values_0.05,0.5373464923268494,0.5086104112046339,5.343227204560107
all_dist,k_values_0.1,0.3497912602149098,0.4901219806131708,1.6898230045445557
all_dist,k_values_0.25,0.34070143538134146,0.16142759742374846,0.6045361647716072
all_dist,box_counts_e0,0.02946806508734937,0.053022841176084114,0.2252830898253519
all_dist,box_counts_e2,0.11341728423670024,0.1984688237576365,0.28131512122154034
