distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
sierpinski_large,hotspots_16_min_val,0.06765883953223568,0.058201887365643676,0.8697688607015004,,
sierpinski_large,hotspots_16_min_x,0.0961753225520147,0.0698930368683023,0.6303608355929864,,
sierpinski_large,hotspots_16_min_y,0.11454709187561325,0.10049822246737362,0.8333057717031391,,
sierpinski_large,hotspots_16_max_val,0.02619481066677957,0.019965457082076987,0.32355716850452887,,
sierpinski_large,hotspots_16_max_x,0.06722599481378147,0.05911930991008412,0.5757185163447298,,
sierpinski_large,hotspots_16_max_y,0.09954794250596258,0.07006099437451047,0.7804544738224253,,
sierpinski_large,hotspots_32_min_val,0.06665188304389537,0.06065760943597563,0.8670399407529151,,
sierpinski_large,hotspots_32_min_x,0.09497098781744522,0.06998768588016549,0.6267702074255346,,
sierpinski_large,hotspots_32_min_y,0.1133208617494755,0.1008233757622688,0.8447432631024304,,
sierpinski_large,hotspots_32_max_val,0.02546325243741873,0.019180547617416006,0.3160258581023625,,
sierpinski_large,hotspots_32_max_x,0.0665153929234116,0.05715416718957585,0.5648908600073451,,
sierpinski_large,hotspots_32_max_y,0.09766383183253677,0.07301018453133792,0.7784143617827332,,
sierpinski_large,hotspots_64_min_val,0.06585063517827312,0.06066005721089926,0.8590899844655269,,
sierpinski_large,hotspots_64_min_x,0.09597257897987303,0.07190419040003974,0.6472301689158535,,
sierpinski_large,hotspots_64_min_y,0.11328026719386429,0.1046505127222468,0.8463045428745061,,
sierpinski_large,hotspots_64_max_val,0.024476153529014538,0.019488355066830082,0.33318851309509345,,
sierpinski_large,hotspots_64_max_x,0.06436815710125578,0.06047325960813802,0.5662056109773949,,
sierpinski_large,hotspots_64_max_y,0.09588225182985435,0.07587827361666527,0.7364113187529538,,
sierpinski_large,k_values_0.025,0.2807413796966383,1.0104405531222838,40.206027712905545,,
sierpinski_large,k_values_0.05,0.27898963667245136,0.1310071166755397,13.509140539972575,,
sierpinski_large,k_values_0.1,0.13125820076754485,0.0409395076534436,4.171825919438578,,
sierpinski_large,k_values_0.25,0.13785648730835776,0.028458499605706192,0.7724479971528123,,
sierpinski_large,box_counts_e0,0.009307527103046194,0.011181993729221554,0.18163465678841081,,
sierpinski_large,box_counts_e2,0.005197410868065245,0.0060008896751015395,0.15446075370565357,,
