distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
bit,hotspots_16_min_val,0.2322224376343788,0.07928596968179293,0.9739608993060901,,
bit,hotspots_16_min_x,0.34489641614383426,0.08963728778440046,0.6545130931908655,,
bit,hotspots_16_min_y,0.36529434040115344,0.08487408945592699,0.6741052186705544,,
bit,hotspots_16_max_val,0.11199359062947174,0.02957583194493786,0.305600793694378,,
bit,hotspots_16_max_x,0.34650630693626355,0.11602154433605368,0.8055470344437294,,
bit,hotspots_16_max_y,0.3611614526074456,0.09632420686896412,0.8314625005482263,,
bit,hotspots_32_min_val,0.22757127015268933,0.0849576752787287,0.9049334472079777,,
bit,hotspots_32_min_x,0.3420989951283688,0.08933637733487629,0.6159824251760885,,
bit,hotspots_32_min_y,0.36530596253532543,0.08533328310733404,0.6823318122220566,,
bit,hotspots_32_max_val,0.10777118896081987,0.02821322310726429,0.34393973860017585,,
bit,hotspots_32_max_x,0.36011068163027615,0.11256368103249932,0.8050399677235839,,
bit,hotspots_32_max_y,0.3558982885284457,0.0989560000772279,0.7863572220903196,,
bit,hotspots_64_min_val,0.22143059570704834,0.10801856878222992,0.9688205186117016,,
bit,hotspots_64_min_x,0.3475932025695972,0.08731565357621382,0.6071535720403389,,
bit,hotspots_64_min_y,0.3608915214600605,0.08298071496325966,0.6658981335554955,,
bit,hotspots_64_max_val,0.10107400560548953,0.03162234939566518,0.3191285815889434,,
bit,hotspots_64_max_x,0.3586300934805158,0.11519601402426234,0.8794495328572849,,
bit,hotspots_64_max_y,0.3613131830916839,0.0958204908490795,0.8028026113508187,,
bit,k_values_0.025,1.3650566259038088,0.6163463708748134,12.981817854931112,,
bit,k_values_0.05,0.6263915733253524,0.6534516078652127,5.4945628709572345,,
bit,k_values_0.1,0.28943827142664175,0.6819948784741187,2.1155615124404887,,
bit,k_values_0.25,0.19506852334727343,0.33596609931055493,0.6156736671855177,,
bit,box_counts_e0,0.08380470442517236,0.12481766885129562,0.17587124627530518,,
bit,box_counts_e2,0.3106701844323771,0.6165529077885964,0.32320121161392074,,
