input_size,prediction_time,inference_max_memory,train_max_memory
10000,0.01087498664855957,743.9921875,814.1474609375
20000,0.02588963508605957,823.6982421875,964.5693359375
40000,0.06773257255554199,977.4091796875,1260.1494140625
80000,0.1779489517211914,1288.76220703125,1849.28173828125
160000,0.5875809192657471,1911.71533203125,3034.75830078125
320000,2.1532957553863525,3161.50439453125,5408.06298828125
640000,8.236219882965088,5656.20166015625,10148.38525390625
1280000,32.175111293792725,10644.45166015625,19628.82275390625
2560000,-1.0,-1.0,-1.0
