distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
gaussian_large,hotspots_16_min_val,0.10237115047331748,0.08564294656227477,0.8481331040964578,,
gaussian_large,hotspots_16_min_x,0.15801803381756985,0.10487824885089304,0.7439669969984497,,
gaussian_large,hotspots_16_min_y,0.11465751200157463,0.07767128117537549,0.6154373871301089,,
gaussian_large,hotspots_16_max_val,0.043081802204902125,0.031551406225053175,0.32518757690927536,,
gaussian_large,hotspots_16_max_x,0.13193615438302073,0.08457359293145314,0.6371290929748581,,
gaussian_large,hotspots_16_max_y,0.1256464239396948,0.08561181523803527,0.7377328877389611,,
gaussian_large,hotspots_32_min_val,0.09273165155999835,0.07353058118459752,0.7671381093318265,,
gaussian_large,hotspots_32_min_x,0.14786970214878634,0.09889916294364313,0.77291047358278,,
gaussian_large,hotspots_32_min_y,0.109959244442032,0.07682621126963657,0.6174516755473488,,
gaussian_large,hotspots_32_max_val,0.039479159982808085,0.029550081212324306,0.3353322449110069,,
gaussian_large,hotspots_32_max_x,0.12724591545116268,0.0825793229970803,0.6515570399313952,,
gaussian_large,hotspots_32_max_y,0.12142637247712985,0.09190336015854371,0.7655244303480331,,
gaussian_large,hotspots_64_min_val,0.08544352073773166,0.060897039784810904,0.8251523079991406,,
gaussian_large,hotspots_64_min_x,0.14549822998610357,0.09941544153897101,0.6685596735872111,,
gaussian_large,hotspots_64_min_y,0.10854730628632031,0.07138696716249487,0.6487084976858717,,
gaussian_large,hotspots_64_max_val,0.0374323212374707,0.0294867433701942,0.30728472361625203,,
gaussian_large,hotspots_64_max_x,0.11821612568814241,0.07966673515160097,0.648098844965705,,
gaussian_large,hotspots_64_max_y,0.1209828240185661,0.0923621149252281,0.7489989119149998,,
gaussian_large,k_values_0.025,9.758549948276904,0.9596881068346923,28.869375459791204,,
gaussian_large,k_values_0.05,2.2419321743490475,0.21230556843467896,6.668022712952928,,
gaussian_large,k_values_0.1,0.13563456428791096,0.14373648044071247,1.4115686629227595,,
gaussian_large,k_values_0.25,0.5254413196193108,0.07991615361661193,0.5102183267197326,,
gaussian_large,box_counts_e0,0.014919899851035524,0.013013547093242638,0.21634164589106192,,
gaussian_large,box_counts_e2,0.0634005160799957,0.049686155241103036,0.22007220047373874,,
