distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
parcel,hotspots_16_min_val,0.2504588861932037,0.15668594186619345,0.9060256594168826,,
parcel,hotspots_16_min_x,0.20888573633221613,0.1667307758354386,0.6212601726771839,,
parcel,hotspots_16_min_y,0.20540024370533239,0.1231700656121875,0.6418634320148499,,
parcel,hotspots_16_max_val,0.05888570469723653,0.05687824774815864,0.30978072168524645,,
parcel,hotspots_16_max_x,0.27654980607673124,0.1710640368324072,0.7310055281972563,,
parcel,hotspots_16_max_y,0.23857424172385452,0.13987869386695406,0.7156231824379126,,
parcel,hotspots_32_min_val,0.24651444183218826,0.20518430343724683,0.9712056836998475,,
parcel,hotspots_32_min_x,0.21005438304149654,0.17768385327002537,0.6237059678559862,,
parcel,hotspots_32_min_y,0.20337858969514547,0.13621523833588942,0.6065009328486408,,
parcel,hotspots_32_max_val,0.059063633175274535,0.06514552472725746,0.3076520268401401,,
parcel,hotspots_32_max_x,0.27813287390173513,0.19153137187476044,0.7625560339531298,,
parcel,hotspots_32_max_y,0.24008569403232616,0.15724499307575798,0.74903572401278,,
parcel,hotspots_64_min_val,0.24034919825964207,0.1534774774793438,0.8313866823032706,,
parcel,hotspots_64_min_x,0.20592379367661048,0.17560919210108178,0.6306562879803359,,
parcel,hotspots_64_min_y,0.2055983178344618,0.12767171790033185,0.6421814238306198,,
parcel,hotspots_64_max_val,0.05952224093717816,0.056668411090595915,0.2965216012589808,,
parcel,hotspots_64_max_x,0.274066033443959,0.18310064075709817,0.7700761337360267,,
parcel,hotspots_64_max_y,0.2389626616929109,0.15172458810473252,0.7297439910977935,,
parcel,k_values_0.025,1.1314560938116236,1.4763651560469977,37.015509811026554,,
parcel,k_values_0.05,0.3565957464465158,0.5105949237663518,13.401273279630582,,
parcel,k_values_0.1,0.2431174168256659,0.5680819192756208,4.8993449188678895,,
parcel,k_values_0.25,0.1337462490893639,0.3418997349803823,1.0574191580411565,,
parcel,box_counts_e0,0.02668863244880557,0.03476663373780317,0.19415139496076675,,
parcel,box_counts_e2,0.09378819787411705,0.17074942718088376,0.168650829889159,,
