distributions,labels,resnet_time,pointnet_time,ref_time
all_dist,hotspots_16_min_val,0.05004048015432316,0.17033050661281215,0.5954919335570901
all_dist,hotspots_16_min_x,0.05004048015432316,0.17033050661281215,0.5954919335570901
all_dist,hotspots_16_min_y,0.05004048015432316,0.17033050661281215,0.5954919335570901
all_dist,hotspots_16_max_val,0.05004048015432316,0.17033050661281215,0.5954919335570901
all_dist,hotspots_16_max_x,0.05004048015432316,0.17033050661281215,0.5954919335570901
all_dist,hotspots_16_max_y,0.05004048015432316,0.17033050661281215,0.5954919335570901
all_dist,hotspots_32_min_val,0.05004380306397423,0.17028438593377124,0.6902625355913986
all_dist,hotspots_32_min_x,0.05004380306397423,0.17028438593377124,0.6902625355913986
all_dist,hotspots_32_min_y,0.05004380306397423,0.17028438593377124,0.6902625355913986
all_dist,hotspots_32_max_val,0.05004380306397423,0.17028438593377124,0.6902625355913986
all_dist,hotspots_32_max_x,0.05004380306397423,0.17028438593377124,0.6902625355913986
all_dist,hotspots_32_max_y,0.05004380306397423,0.17028438593377124,0.6902625355913986
all_dist,hotspots_64_min_val,0.05004479223795605,0.16850448201389173,0.8791933158322185
all_dist,hotspots_64_min_x,0.05004479223795605,0.16850448201389173,0.8791933158322185
all_dist,hotspots_64_min_y,0.05004479223795605,0.16850448201389173,0.8791933158322185
all_dist,hotspots_64_max_val,0.05004479223795605,0.16850448201389173,0.8791933158322185
all_dist,hotspots_64_max_x,0.05004479223795605,0.16850448201389173,0.8791933158322185
all_dist,hotspots_64_max_y,0.05004479223795605,0.16850448201389173,0.8791933158322185
all_dist,k_values_0.025,0.05004257236180193,0.1697226493192613,0.8495735628982337
all_dist,k_values_0.05,0.050048517573828645,0.16971798900767596,1.5416035902528604
all_dist,k_values_0.1,0.05004122592624041,0.16969274194811346,2.8080652387917944
all_dist,k_values_0.25,0.05003978474646694,0.1696924524722494,5.260144595599118
all_dist,box_counts_e0,0.05004302515208448,0.16970645818682503,1.2010599626501017
all_dist,box_counts_e2,0.05004302515208448,0.16970645818682503,1.2010599626501017
