distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
uniform,hotspots_16_min_val,0.07974488369856919,0.06397655501317372,1.0440886968192884,,
uniform,hotspots_16_min_x,0.10445168048573718,0.08733374976474155,0.6310146139080238,,
uniform,hotspots_16_min_y,0.09555022286972312,0.0740852793964033,0.7519894025013321,,
uniform,hotspots_16_max_val,0.033589363463826884,0.022807250702698234,0.3344452108688327,,
uniform,hotspots_16_max_x,0.12862309501115657,0.09023896700289365,0.8312265226115448,,
uniform,hotspots_16_max_y,0.1248795879128333,0.07706189056884274,0.697122350308153,,
uniform,hotspots_32_min_val,0.07930517598985705,0.07334511960285961,1.1120858732776477,,
uniform,hotspots_32_min_x,0.1031075878221298,0.09508592446881796,0.6193071240266044,,
uniform,hotspots_32_min_y,0.09443681313717808,0.07322219231386842,0.6210555168133224,,
uniform,hotspots_32_max_val,0.03310264860862376,0.022844572750342653,0.31958863520679276,,
uniform,hotspots_32_max_x,0.131395049818484,0.08710189794528596,0.8354912591127557,,
uniform,hotspots_32_max_y,0.12447645916991557,0.07234397791328258,0.7637788952737876,,
uniform,hotspots_64_min_val,0.07851655907199093,0.08748598459814329,1.107220421358741,,
uniform,hotspots_64_min_x,0.10211364012641704,0.08482634277963434,0.6760773910396798,,
uniform,hotspots_64_min_y,0.094001160706269,0.07186165398308207,0.6869287264612989,,
uniform,hotspots_64_max_val,0.032171208547899566,0.021338887233017304,0.32553358959924306,,
uniform,hotspots_64_max_x,0.12875962942520736,0.08565566773777092,0.8067725828786304,,
uniform,hotspots_64_max_y,0.12526438462217457,0.07394507752493633,0.7345709286891988,,
uniform,k_values_0.025,13.483788406813558,2.3863080729103636,176.892051033333,,
uniform,k_values_0.05,1.3993578358099328,0.6411059203962165,43.46392509951467,,
uniform,k_values_0.1,0.438918318084869,0.118379936793089,10.77208325555679,,
uniform,k_values_0.25,0.11305505001814609,0.03761001426299123,1.4764742179168198,,
uniform,box_counts_e0,0.00495722583113188,0.01054283464593648,0.22174224528314262,,
uniform,box_counts_e2,0.009982573831052208,0.0111377763302632,0.24140909706006633,,
