distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
weather,hotspots_16_min_val,0.41369489157584627,0.21509119199691268,0.5704960504512364,0.0707876060206592,0.07243955163946889
weather,hotspots_16_min_x,0.41610311891607593,0.193311443289933,0.4538918855016604,0.09297750818416822,0.0832531702758141
weather,hotspots_16_min_y,0.7066691053038522,0.3242474936927237,0.6871805263465108,0.15329767022789487,0.11410022134563456
weather,hotspots_16_max_val,0.06716185015381447,0.050826508973584573,0.27166218260805025,0.024430425412216458,0.021209166627158015
weather,hotspots_16_max_x,0.5914902787544085,0.4465133326758954,0.7233781797929065,0.2811495991174041,0.2515090298346542
weather,hotspots_16_max_y,0.28217509084575343,0.310979906127961,0.5098595511007047,0.168758588350052,0.16012284537182986
weather,hotspots_32_min_val,0.4188555713688948,0.23056364474471894,0.5568839832172212,0.03627523728188986,0.04131410273297501
weather,hotspots_32_min_x,0.42732524310622594,0.19602582601025564,0.47084229081001083,0.0938717893009183,0.08997232961263994
weather,hotspots_32_min_y,0.6865846460236245,0.34198174266596787,0.6586970038285017,0.13548312199252172,0.09670217318327334
weather,hotspots_32_max_val,0.06720832764301092,0.05549901457795131,0.2708834294872544,0.014425943044250598,0.014858920578587505
weather,hotspots_32_max_x,0.627218991212344,0.4681969796823507,0.7528756866029086,0.26499420834474396,0.23577790440578547
weather,hotspots_32_max_y,0.22774277915028387,0.2956425174605624,0.48787986309250503,0.11872015693410087,0.10945752412476065
weather,hotspots_64_min_val,0.4285111082087395,0.2633036806347272,0.5006348280877444,0.06401237838112483,0.06799465263398878
weather,hotspots_64_min_x,0.43792543021822794,0.19941569792141461,0.4638781677621316,0.11059850263309051,0.09714224543303303
weather,hotspots_64_min_y,0.6542956939881631,0.36429596780575196,0.6379062506772403,0.1353290049087612,0.11227323330166035
weather,hotspots_64_max_val,0.06850763111350974,0.05015434549940196,0.26953171352948957,0.01859611799404943,0.020700532782617045
weather,hotspots_64_max_x,0.6314521809630158,0.4587406783363848,0.8023917657047822,0.2717274760755541,0.24522832711579143
weather,hotspots_64_max_y,0.20743695352976987,0.2728410944337612,0.4636207359272726,0.10489141516544614,0.10611509045436814
weather,k_values_0.025,1.3362550561126072,0.46065652440962895,7.817266877743882,2.6504380221413433,0.6172643371869003
weather,k_values_0.05,0.2380400150279002,0.6984460724681449,2.0550376640987023,0.48885458425472716,0.22538056359198796
weather,k_values_0.1,0.48423202835162366,0.7306093147586731,0.6108409443993574,0.21011387456312441,0.12455986589583562
weather,k_values_0.25,0.43961281324817253,0.2670026735800437,0.4519086442522137,0.15313813918749888,0.0496139006569876
weather,box_counts_e0,0.05525211739205203,0.11894598150335527,0.19431845043607174,0.018421795329137597,0.025303252864547977
weather,box_counts_e2,0.3279658967916964,0.6490154363831259,0.48579293076897556,0.007929997773453257,0.016069758576244937
