distribution,resnet_wmape,pointnet_wmape,random_wmape
diagonal,0.11396533733459253,0.058753838228352784,1.5717692968744208
gaussian,0.7529605274511729,0.12714962299068125,2.246583922672767
sierpinski,0.11250393824172283,0.10809153306081469,2.7724142419033306
uniform,0.7143145233698617,0.18623523110994392,10.24858261205914
bit,0.3392580590026455,0.1893817706152212,1.4305714777617586
parcel,0.2369082840311498,0.23742178620431253,2.8576304407609583
weather,0.4267382007916505,0.3192627945680513,0.8819858169261389
diagonal_large,0.12001125245012127,0.058477768212790215,1.543923746133604
sierpinski_large,0.09329653741578371,0.0991514869821186,2.958125743203647
gaussian_large,0.6112675780541891,0.11728246101430216,2.064995957834213
uniform_large,0.7629636704073931,0.17637677989031664,10.229768991890671
