distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
diagonal_large,hotspots_16_min_val,0.0606418176301238,0.0491829788424225,0.9390744686762963,,
diagonal_large,hotspots_16_min_x,0.04386219752234863,0.03855097885200634,0.6602715081364688,,
diagonal_large,hotspots_16_min_y,0.052932043661070155,0.03249877226971018,0.6664698205326194,,
diagonal_large,hotspots_16_max_val,0.02185646357639954,0.017804128464447722,0.29866827737643675,,
diagonal_large,hotspots_16_max_x,0.07096175838582838,0.04399428953815409,0.8340126319027115,,
diagonal_large,hotspots_16_max_y,0.07468823414102152,0.04962786053932059,0.8754285106990563,,
diagonal_large,hotspots_32_min_val,0.061213589690815466,0.05015495746133443,0.8953461838678631,,
diagonal_large,hotspots_32_min_x,0.04411997790740958,0.03753502118542026,0.6061327004660791,,
diagonal_large,hotspots_32_min_y,0.05293794507488971,0.032426450719650675,0.6653499631906529,,
diagonal_large,hotspots_32_max_val,0.0219830503553146,0.01788771750792632,0.31649773713248147,,
diagonal_large,hotspots_32_max_x,0.07122307006805836,0.04366230415771148,0.7765257071304595,,
diagonal_large,hotspots_32_max_y,0.07513119524064779,0.04969356883158083,0.8323455798748908,,
diagonal_large,hotspots_64_min_val,0.06247606299847777,0.07397046301698229,0.9032819204414251,,
diagonal_large,hotspots_64_min_x,0.04415161802198888,0.036152694975678926,0.6534948243304368,,
diagonal_large,hotspots_64_min_y,0.05313307615002767,0.03438173936560996,0.683100897783898,,
diagonal_large,hotspots_64_max_val,0.022255259699927435,0.016777291938728622,0.3310327034121862,,
diagonal_large,hotspots_64_max_x,0.0704292846544559,0.04626698168243699,0.8185186888412032,,
diagonal_large,hotspots_64_max_y,0.07579371891609903,0.050455852560069965,0.8797082371857607,,
diagonal_large,k_values_0.025,1.1468862654545364,0.43412081651358914,14.411140935407271,,
diagonal_large,k_values_0.05,0.3913348026625195,0.10342493667009094,6.354090557516573,,
diagonal_large,k_values_0.1,0.07315574116945688,0.05282799750746434,2.4224104559829724,,
diagonal_large,k_values_0.25,0.20003784361065402,0.04309278002576263,0.5916210149886096,,
diagonal_large,box_counts_e0,0.00817373279854799,0.020761238611195446,0.33510284688207653,,
diagonal_large,box_counts_e2,0.08089130941229143,0.02821461586967034,0.30454373544806757,,
