distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
sierpinski,hotspots_16_min_val,0.077661194372024,0.06555571634562979,0.9881115204732475,,
sierpinski,hotspots_16_min_x,0.08862451915826362,0.06335001349713462,0.5601850427166457,,
sierpinski,hotspots_16_min_y,0.1254655916470642,0.08541330227110795,0.8119944056535738,,
sierpinski,hotspots_16_max_val,0.028294024649545124,0.022946180513465305,0.33400282507837753,,
sierpinski,hotspots_16_max_x,0.10973759661116807,0.07545389627541742,0.6844768811323704,,
sierpinski,hotspots_16_max_y,0.16592938634712368,0.108080854400456,0.763759353445802,,
sierpinski,hotspots_32_min_val,0.07533657914486426,0.07110304861633522,0.8751064781506106,,
sierpinski,hotspots_32_min_x,0.0866019355429169,0.06639521037650112,0.5815511812880293,,
sierpinski,hotspots_32_min_y,0.12687178764122387,0.08821559679584369,0.7771608285657862,,
sierpinski,hotspots_32_max_val,0.02718326421310423,0.0219864082694402,0.31885922257873783,,
sierpinski,hotspots_32_max_x,0.1129734719459036,0.0699398291380119,0.7091096907716649,,
sierpinski,hotspots_32_max_y,0.1615622722702382,0.09950262717442931,0.7321634410613924,,
sierpinski,hotspots_64_min_val,0.07306250644726564,0.07436721537811071,0.8384843286841612,,
sierpinski,hotspots_64_min_x,0.08405354377898157,0.06451053823134323,0.5439000872891303,,
sierpinski,hotspots_64_min_y,0.12346291700837639,0.08474974262905662,0.8236300640472803,,
sierpinski,hotspots_64_max_val,0.02690668207393794,0.022803000568747577,0.32626481283673514,,
sierpinski,hotspots_64_max_x,0.1106114022168283,0.07401113991599535,0.6958179373233413,,
sierpinski,hotspots_64_max_y,0.15961520503742913,0.10038612444023294,0.7798395524180329,,
sierpinski,k_values_0.025,0.29772766411295537,1.0931312431752462,35.49113988605632,,
sierpinski,k_values_0.05,0.3367628201353611,0.15119648594987847,13.67689716212764,,
sierpinski,k_values_0.1,0.15090052204622398,0.04151630494355924,4.109917094559793,,
sierpinski,k_values_0.25,0.1329361385617073,0.02961585945972139,0.7673135689022711,,
sierpinski,box_counts_e0,0.009767439898768361,0.01306981436044795,0.18823662407902844,,
sierpinski,box_counts_e2,0.008046052940073095,0.0068966407334401045,0.1600198164399604,,
